Empresa;Data;Situacao;Usuario;Solicitação;Nr_nf;Sku;Dt_Preventrega;Pedido;Ds_Prioridade;Ds_Compra;Vl_Solicitacao_Total;Cod_Ccusto;Obs_lin1;Obs_lin2;Obs_lin3;Obs_lin4
8;17/11/2022;APROVADA;1850;794;510.0;5010364;17/01/2023;13717;MEDIA;;58.0;302010000;;;;
1;17/11/2022;APROVADA;1850;795;878484.0;5010083;21/11/2022;13187;MEDIA;;1806.15;302010000;;;;
1;18/11/2022;APROVADA;1850;796;1779.0;5001412;18/11/2022;13178;MEDIA;;460.0;302010000;;;;
1;21/11/2022;APROVADA;1850;801;225191.0;5009326;30/11/2022;13266;ALTA;;2830.24;999;EXTREMA URGENCIA AR CONDICIONADO DESLIGADO;;;
607;21/11/2022;APROVADA;1850;802;;5008766;;;ALTA;;778.9;999;FAVOR SEGUIR MODELO ENVIADO NO EMAIL;;;
5;21/11/2022;APROVADA;1850;805;24533.0;664694;22/11/2022;13215;NORMAL;;3732.25;999;NF 24388 MATERIAL JA ADQUIRIDO;;;
1;21/11/2022;APROVADA;1850;806;3113.0;5010387;22/11/2022;13217;NORMAL;;1600.0;999;NF 3113 AGUA RECEBIDA;;;
1;22/11/2022;APROVADA;1850;809;191961.0;5010420;12/12/2022;13382;MEDIA;;2563.48;302010000;;;;
1;23/11/2022;APROVADA;1850;814;;5002092;;;MEDIA;;6907.78;302010000;;;NF688 JA RECEBIDA E INSTALADA;
402;23/11/2022;APROVADA;1850;815;;5002092;;;MEDIA;;3153.0;302010000;NF687 MATERIAL JA FOI RECEBIDO E INSTALADO;;;
1;24/11/2022;APROVADA;1850;816;316.0;5006408;07/12/2022;13343;ALTA;;431.4;999;MODELO ENVIADO POR EMAIL;;;
1;24/11/2022;APROVADA;1850;818;43104.0;5006125;29/11/2022;13257;MEDIA;;849.0;302010000;NF43104 MATERIAL JA FOI ENTREGUE NA OBRA;;;
1;24/11/2022;APROVADA;1850;819;3183.0;5003761;29/11/2022;13256;MEDIA;;26244.1;302010000;DANFE NF 3183 MATERIAL AGUARDANDO A ENTREGA;;;
1;25/11/2022;APROVADA;1850;820;5417.0;5002426;29/11/2022;13254;NORMAL;;2190.52;302010000;DANFE NF 5417 MATERIAL JA FOI ENTREGUE NA OBRA DO GALPAO;;;
1;25/11/2022;APROVADA;1850;821;884736.0;5003486;12/12/2022;13350;NORMAL;;2325.08;302010000;DANFE NF 5418 O MATERIAL JA FOI ENTREGUE;;;
10;25/11/2022;APROVADA;1850;823;15810.0;5010526;29/11/2022;13253;NORMAL;;100.0;302010000; DANFE NF 15810 O MATERIAL JA FOI ENTREGUE NA LOJA;;;
13;30/11/2022;APROVADA;1850;825;289.0;5003969;30/11/2022;13277;NORMAL;;5160.0;302010000;NF 289 MATERIAL JA FOI ENTREGUE NA LOJA;;;
1;30/11/2022;APROVADA;1852;828;43291.0;5005786;08/12/2022;13357;ALTA;;4068.15;403050000;;;;
1;30/11/2022;APROVADA;1851;829;65467.0;5007248;08/12/2022;13361;ALTA;;6503.55;302030000;;;;
1;30/11/2022;APROVADA;1850;831;1588396.0;5003111;29/03/2023;14453;ALTA;;3813.55;999;SEGUE ESPECIFICACOES POR EMAIL;;;
1;30/11/2022;APROVADA;1850;834;36421.0;5010539;13/12/2022;13392;MEDIA;;94.98;302010000;;;;
1;30/11/2022;APROVADA;1850;835;719787.0;5009516;12/12/2022;13367;ALTA;;1192.0;302010000;SOLICITAR APENAS O ORCAMENTO PARA MANDARMOS PARA  A  APROVACAO;;;
1;02/12/2022;APROVADA;1850;839;211.0;5007408;13/12/2022;13395;ALTA;;61.6;302010000;;;;
29;02/12/2022;APROVADA;1852;841;364904.0;665016;02/01/2023;13561;ALTA;;7539.1;403050000;;;;
28;02/12/2022;APROVADA;1852;844;;5008506;;;ALTA;;21032.46;403050000;;;;
1;06/12/2022;APROVADA;1850;846;257522.0;5010548;20/12/2022;13499;ALTA;;184.02;302010000;;;;
18;06/12/2022;APROVADA;1850;847;1474371.0;5009292;08/12/2022;13349;ALTA;;1197.7;999;FAVOR SEGUIR O MEDELO ENVIADO POR EMAIL;;;
1;06/12/2022;APROVADA;1851;848;265003.0;5000024;13/12/2022;13364;ALTA;;8971.66;302030000;;;;
1;06/12/2022;APROVADA;1851;849;4677361.0;5000389;16/12/2022;13376;ALTA;;9925.8;302030000;;;;
28;06/12/2022;APROVADA;1852;850;885519.0;5004464;13/12/2022;13393;ALTA;;2812.8;403050000;;;;
1;08/12/2022;APROVADA;1850;856;127184.0;5005060;12/12/2022;13370;NORMAL;;6215.23;403010000;NF127184 O MATERIAL JA FOI ENTREGUE NA OBRA DA CIDADE MATARAZZO;;;
13;08/12/2022;APROVADA;1850;861;34062.0;5010119;21/12/2022;13536;MEDIA;;515.19;999;MODELO ENVIADO POR EMAIL;;;
605;08/12/2022;APROVADA;1850;862;;5004425;;;ALTA;;315.0;999;LINK COM O MODELO ENVIADO POR EMAIL;;;
1;12/12/2022;APROVADA;1850;863;3149.0;5009379;15/12/2022;13454;NORMAL;;1100.0;999;NF 3149 JA ENTREGUE EM NOSSA FABRICA;;;
28;12/12/2022;APROVADA;1852;864;887801.0;5004593;20/12/2022;13463;ALTA;;231.98;403050000;;;;
28;12/12/2022;APROVADA;1852;865;1481259.0;5008099;19/12/2022;13465;ALTA;;5557.72;403050000;;;;
28;13/12/2022;APROVADA;1852;866;1481693.0;5003578;19/12/2022;13466;ALTA;;5370.18;403050000;;;;
28;13/12/2022;APROVADA;1852;869;466295.0;5005288;16/12/2022;13447;ALTA;;2410.13;403050000;;;;
28;13/12/2022;APROVADA;1852;873;1098653.0;5005734;27/12/2022;13542;ALTA;;8869.83;403050000;;;;
28;13/12/2022;APROVADA;1852;874;;5010382;27/12/2022;13542;ALTA;;9647.94;403050000;;;;
8;14/12/2022;APROVADA;1850;879;413.0;5008909;15/12/2022;13438;MEDIA;;960.0;302010000;DANFE NF 413 O MATERIAL JA FOI ENTREGUE;;;
402;15/12/2022;APROVADA;1850;881;696.0;5010475;15/12/2022;13446;MEDIA;;275.4;302010000;DANFE NF 696 O MATERIAL JA FOI ENTREGUE;;;
1;15/12/2022;APROVADA;1850;882;50654.0;5010671;15/12/2022;13449;MEDIA;;5849.6;403010000;DANFE NF 50654 O MATERIAL JA FOI ENTREGUE;;;
1;15/12/2022;APROVADA;1850;884;39558.0;5010677;15/12/2022;13450;MEDIA;;4200.0;403010000;DANFE NF 39558 O MATERIAL JA FOI ENTREGUE;;;
1;16/12/2022;APROVADA;1853;886;4336.0;5007923;28/12/2022;13538;ALTA;;8929.92;302010000;;;;
9;19/12/2022;APROVADA;1850;888;1605.0;5010288;19/12/2022;13482;NORMAL;;744.0;999;NF 1605 MATERIAL JA SE ENCONTRA EM NOSSA LOJA;;;
605;19/12/2022;APROVADA;1850;890;;5004425;;;ALTA;;315.0;999;FAVOR PROVIDENCIAR A COMPRA DO MODELO PADRAO;;;
9;19/12/2022;APROVADA;1850;891;;5010799;;;NORMAL;;3350.1;999;NF 508 MATERIAL JA INSTALADO EM NOSSA LOJA;;;
1;20/12/2022;APROVADA;1850;894;4564.0;5007674;21/12/2022;13532;NORMAL;;222.67;302010000;DANFE NF 4564 O MATERIAL JA FOI ENTREGUE;;;
13;21/12/2022;APROVADA;1850;895;277644.0;5003731;02/01/2023;13584;MEDIA;;100.9;999;MODELO ENVIADO POR EMAIL;;;
18;21/12/2022;APROVADA;1850;896;1487918.0;5003119;26/12/2022;13546;ALTA;;499.0;999;DATALES DO MODELO ENVIADO NO EMAIL;;;
28;21/12/2022;APROVADA;1850;900;5467.0;5001433;27/12/2022;13565;NORMAL;;3428.92;302010000;DANFE NF 5467 O MATERIAL JA FOI ENTREGUE;;;
28;21/12/2022;APROVADA;1852;901;467746.0;5006718;23/12/2022;13545;ALTA;;1274.0;403050000;;;;
1;26/12/2022;APROVADA;1850;902;434594.0;5006295;28/12/2022;13562;NORMAL;;520.0;999;MODELO ENVIADO NO EMAIL;;;
1;26/12/2022;APROVADA;1850;903;227529.0;5009326;29/12/2022;13556;MEDIA;;1937.43;999;EFETUAR A COMPRA DE 3 BOTIJAS DE 11KG ENVIADO POR EMAIL;;;
1;26/12/2022;APROVADA;1850;904;816.0;5001337;26/12/2022;13549;NORMAL;;159.5;302010000;DANFE NF 816 O MATERIAL JA FOI ENTREGUE;;;
1;26/12/2022;APROVADA;1851;905;442220.0;5000264;28/12/2022;13578;ALTA;;2897.05;302030000;;;;
8;25/12/2022;APROVADA;1850;906;2073535.0;5010611;03/01/2023;13598;MEDIA;;829.86;999;MODELO APROVADO PELO GERENTE ENVIADO NO EMAIL;;;
1;26/12/2022;APROVADA;1851;907;265791.0;5000633;02/01/2023;13570;MEDIA;;2473.53;302030000;;;;
9;24/12/2022;APROVADA;1850;908;2073602.0;5010611;03/01/2023;13595;MEDIA;;829.86;999;MODELO APROVADO PELO GERNTE ENVIADO POR EMAIL;;;
28;26/12/2022;APROVADA;1852;909;;5002431;;;ALTA;;2863.5;403050000;;;;
23;27/12/2022;APROVADA;1850;910;724075.0;5004425;03/01/2023;13596;ALTA;;315.0;999;OBSERVACOES ENVIADO POR EMAIL;;;
1;27/12/2022;APROVADA;1853;911;15677.0;5010886;03/01/2023;13591;ALTA;;111.35;302010000;;;;
1;28/12/2022;APROVADA;1853;913;62187.0;5010887;03/01/2023;13594;ALTA;;52.42;302010000;;;;
1;04/01/2023;APROVADA;1852;918;1487260.0;5007980;05/01/2023;13613;NORMAL;;371.0;403050000;;;;
28;04/01/2023;APROVADA;1852;919;26773.0;5010895;10/01/2023;13630;ALTA;;3536.0;403050000;;;;
28;04/01/2023;APROVADA;1852;920;273942.0;5003284;11/01/2023;13631;ALTA;;1616.64;403050000;;;;
1;05/01/2023;APROVADA;1853;921;225464.0;5002943;19/01/2023;13762;MEDIA;;819.63;302010000;;;;
1;05/01/2023;APROVADA;1853;922;;5010914;;;NORMAL;;38547.54;403010000;DANFE NF 69857 OS MATERIAIS JA FORAM ENTREGUES NA CIDADE MATARAZZO;;;
28;09/01/2023;APROVADA;1852;927;471355.0;5002426;13/01/2023;13683;ALTA;;1668.02;403050000;;;;
9;10/01/2023;APROVADA;1850;930;1778.0;5005797;10/01/2023;13662;NORMAL;;109.0;999;MATERIAL JA SUBSTITUIDO SEGUE NUMERO DE NF 1778;;;
1;10/01/2023;APROVADA;1853;931;;5010409;19/01/2023;13758;NORMAL;;1764.0;403010000;NF 127796  O MATERIAL JA FOI ENTREGUE NA CIDADE MATARAZZO;;;
1;10/01/2023;APROVADA;1853;932;;5010409;19/01/2023;13759;NORMAL;;1764.0;403010000;NF 127989 O MATERIAL JA FOI ENTREGUE NA CIDADE MATARAZZO;;;
1;10/01/2023;APROVADA;1853;933;;5010409;19/01/2023;13760;NORMAL;;1764.0;403010000;NF 128166;;;
25;10/01/2023;APROVADA;1850;936;1443.0;5005797;11/01/2023;13666;NORMAL;;109.0;999;MATERIAL JA COMPRADO E SUBSTITUIDO NF 1443;;;
1;11/01/2023;APROVADA;1850;940;1797.0;5001412;20/01/2023;13685;NORMAL;;460.0;999;ESPECIFICACOES ENVIADO POR EMAIL;;;
22;11/01/2023;APROVADA;1850;941;110.0;5010949;11/01/2023;13675;NORMAL;;200.0;999;MATERIAL JA SUBSTITUIDO EM LOJA NF110;;;
28;09/01/2023;APROVADA;1852;949;5491.0;5010183;16/01/2023;13697;NORMAL;;1353.82;403050000;;;;
1;12/01/2023;APROVADA;1853;951;224743.0;5006940;16/01/2023;13693;ALTA;;1216.6;302010000;;;;
28;12/01/2023;APROVADA;1852;952;472807.0;5002426;19/01/2023;13745;ALTA;;2096.34;403050000;;;;
1;13/01/2023;APROVADA;1853;954;1118.0;5004234;16/01/2023;13690;NORMAL;;350.0;302010000;DANFE NF 1118 O MATERIAL JA FOI ENTREGUE;;;
1;13/01/2023;APROVADA;1853;957;;5008709;;;ALTA;;1343.4;302010000;;;;
9;16/01/2023;APROVADA;1850;958;1070.0;650781;15/02/2023;14070;NORMAL;;1234.8;999;FAVOR SEGUIR A COMPRA DO MODELO ENVIADO POR EMAIL;;;
1;17/01/2023;APROVADA;1853;966;;5010979;;;NORMAL;;4008.42;403010000;DANFE NF 128883 O MATERIAL JA FOI ENTREGUE;;;
1;17/01/2023;APROVADA;1853;968;215468.0;5011000;19/01/2023;13763;ALTA;;5361.86;302010000;;;;
11;18/01/2023;APROVADA;1850;974;;5003690;19/01/2023;13736;NORMAL;;2148.0;999;PRODUTO JA COMPRADO NF 2867 ENVIDA POR EMAIL;;;
9;19/01/2023;APROVADA;1850;976;11260.0;581423;02/02/2023;13819;NORMAL;;4106.11;999;MODELOS APROVADOS PELO GERENTE ENVIADO POR EMAIL;;;
8;19/01/2023;APROVADA;1850;977;11394.0;5001342;02/02/2023;13898;NORMAL;;206.59;999;MODELOS REQUISITADOS PELO GERENTE ENVIADO POR EMAIL;;;
9;19/01/2023;APROVADA;1850;979;;5003465;19/01/2023;13747;NORMAL;;410.0;999;MATERIAL JA INSTALADO NF 431 ENVIADA POR EMAIL;;;
25;19/01/2023;APROVADA;1850;980;836.0;5011021;23/01/2023;13793;NORMAL;;1005.5;999;MATERIA JA INSTALADO NF 836 ENVIADO POR EMAIL;;;
25;20/01/2023;APROVADA;1850;982;36639.0;5000511;23/01/2023;13783;NORMAL;;1972.0;999;MATERIAL JA ENTREGUE NF 36639 ENVIADA POR EMAIL;;;
13;20/01/2023;APROVADA;1850;984;2630.0;5001916;13/02/2023;13801;NORMAL;;823.52;999;FAVOR SEGUIR O MESMO MODELO QUE JA USAMOS EM TODAS AS NOSSAS LOJAS;;;
1;20/01/2023;APROVADA;1853;985;1803.0;5001412;24/01/2023;13797;NORMAL;;920.0;302010000;NF 1803 O MATERIAL JA FOI ENTREGUE;;;
1;23/01/2023;APROVADA;1850;986;4037.0;5006106;31/01/2023;13885;NORMAL;;600.0;999;MODELOS ENVIADO POR EMAIL;;;
1;23/01/2023;APROVADA;1850;988;127652.0;5005305;31/01/2023;13876;NORMAL;;259.98;999;MODELO ENVIADO POR EMAIL;;;
5;24/01/2023;APROVADA;1850;989;324021.0;664621;07/02/2023;13942;NORMAL;;1410.0;999;MODELO ENVIADO POR EMAIL;;;
19;24/01/2023;APROVADA;1850;990;14837.0;5002059;15/02/2023;14067;ALTA;;401.28;999;MODELO ENVIADO POR EMAIL;;;
11;24/01/2023;APROVADA;1850;991;2087404.0;5009515;07/02/2023;13948;NORMAL;;208.05;999;MODELO E METRAGEM ENVIADO POR EMAIL;;;
9;24/01/2023;APROVADA;1850;992;900.0;5003583;31/01/2023;13886;NORMAL;;330.0;999;MODELO ENVIADO POR EMAIL;;;
1;24/01/2023;APROVADA;1853;994;5357.0;5007780;02/02/2023;13903;MEDIA;;136.0;302010000;;;;
1;24/01/2023;APROVADA;1853;995;100265.0;5011045;30/01/2023;13846;ALTA;;61.59;302010000;;;;
22;26/01/2023;APROVADA;1850;1000;;5001916;;;NORMAL;;257.35;999;ENVIADO POR EMAIL;;;
1;26/01/2023;APROVADA;1850;1001;11671887.0;5006464;02/02/2023;13901;NORMAL;;506.7;999;ENVIADO POR EMAIL;;;
28;20/01/2023;APROVADA;1852;1003;476082.0;5006716;07/02/2023;13953;ALTA;;1954.97;403050000;;;;
25;27/01/2023;APROVADA;1850;1005;2911.0;673694;30/01/2023;13860;NORMAL;;1600.0;999;MATERIAL JA INSTALADO NF 2911 ENVIADA POR EMAIL;;;
1;27/01/2023;APROVADA;1853;1006;;5011060;;;NORMAL;;453.6;302010000;NF 44177 O MATERIAL JA FOI ENTREGUE;;;
1;31/01/2023;APROVADA;1851;1009;448442.0;5000010;08/02/2023;13981;ALTA;;4017.45;302030000;;;;
1;31/01/2023;APROVADA;1851;1010;268066.0;5000022;10/02/2023;13967;ALTA;;6788.4;302030000;;;;
